3650	ølstykke
3660	Stenløse
3670	Veksø Sjælland
3700	Rønne
3720	Aakirkeby
3730	Nexø
3740	Svaneke
3751	østermarie
3760	Gudhjem
3770	Allinge
3782	Klemensker
3790	Hasle
4050	Skibby
